"","id","state","district","village","year","roadPaved","distanceToPavedRoad","roadMonsoonUsability","yearsWithPavedRoad","lnDistanceToPavedRoad","ImmunizationCampaignsNumber","distanceToNearestTown","distanceToNearestDistrictHQ","area","populationCategories","householdNumbersOf","mbCataract","mbTuberculosis","mbHighBP","mbHeartDisease","mbDiabetes","mbLeprosy","mbCancer","mbAsthma","mbPolio","mbParalysis","mbEpilepsy","mbMentalIllness","mbSTDorAIDS","mbOtherLongTerm","mbDaysIncapacitated","mbTreatmentRecieved","mbDaysHospitalized","mbCostOfTreatment","mbCostIncludesMedication","mbCostOfMeds","mbTravelExpenses","mbAnyDisease","smokeTobacco","chewTobacco","drinkAlcohol","attendedSchool","gradeCompleted","readingScore","mathScore","writingScore","urban","income","yearsLivingHere","ownToilet","electricity","electricityHours","healthSubCenter","primaryHealthCenter","communityHealthCenter","districtHospital","govtMaternityCenter","pvtClinicTrainedDoc","pvtClinicUntrainedDoc","pvtHospital","pvtPharm","otherGovtMedFacility","distHealthSubCenter","distPrimaryHealthCenter","distCommunityHealthCenter","distDistrictHospital","distGovtMaternityCenter","distPvtClinicTrainedDoc","distPvtClinicUntrainedDoc","distPvtHospital","distPvtPharm","distOtherGovtMedFacility","caste.Brahmin","caste.OBC","caste.SC","caste.ST","caste.Other","drinkingWaterSource.Piped","drinkingWaterSource.TubeWell","drinkingWaterSource.HandPump","drinkingWaterSource.OpenWell","drinkingWaterSource.CoveredWell","drinkingWaterSource.River","drinkingWaterSource.Pond","drinkingWaterSource.Truck","drinkingWaterSource.RainWater","drinkingWaterSource.Bottled","drinkingWaterSource.Other","drinkingWaterSource.NA","mbTreatmentWho1.NA","mbTreatmentWho1.PublicDoc","mbTreatmentWho1.PublicDocInPvt","mbTreatmentWho1.PvtDoc","mbTreatmentWho1.Pharm","mbTreatmentWho1.OtherOrTraditional","mbTreatmentWhere1.NA","mbTreatmentWhere1.SameVillage","mbTreatmentWhere1.AnotherVillage","mbTreatmentWhere1.OtherTown","mbTreatmentWhere1.DistrictTown","mbTreatmentWho2.NA","mbTreatmentWho2.PublicDoc","mbTreatmentWho2.PublicDocInPvt","mbTreatmentWho2.PvtDoc","mbTreatmentWho2.Pharm","mbTreatmentWho2.OtherOrTraditional","mbTreatmentWhere2.NA","mbTreatmentWhere2.SameVillage","mbTreatmentWhere2.AnotherVillage","mbTreatmentWhere2.OtherTown","mbTreatmentWhere2.DistrictTown"
"1","1.12.1",1,12,1,2005,0,1,0,-1,0.693147180559945,2,1,80,3021,3,1158,0,0,0.980392156862745,0,0,0,0,0,0,0,0,0,0,0,0.0490196078431373,0.00980392156862745,0,1.96078431372549,0,9.80392156862745,0,0,1.35714285714286,0.428571428571429,0.428571428571429,1,3.5,3.33333333333333,1.5,0.833333333333333,0,64452.1475,69.25,0.6,1,18.8,0,0,0,0,0,0,0,0,0,0,-3,-3,-3,88,-3,-3,88,-3,-3,-3,0.9,0,0.1,0,0,0.15,0,0.15,0.1,0,0,0.5,0,0,0,0.1,0,0.990196078431373,0,0.00980392156862745,0,0,0,0.990196078431373,0.00980392156862745,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"2","1.12.3",1,12,3,2005,1,0,1,10,0,2,25,60,200,1,138,0,0,5.40540540540541,1.8018018018018,0,0,1.8018018018018,0,0,0,0,0,0,0.900900900900901,6.42342342342342,0.0630630630630631,0.72972972972973,21.1711711711712,0,693.693693693694,201.801801801802,0.900900900900901,1,1.11111111111111,0.888888888888889,1,3.16666666666667,3,1.66666666666667,0.833333333333333,0,71275.5405,60.55,0.35,1,18.9,1,0,0,0,0,0,0,0,1,0,0,25,25,60,25,25,25,25,0,60,0.65,0,0,0,0.35,0.4,0,0.35,0.25,0,0,0,0,0,0,0,0,0.936936936936937,0.0540540540540541,0,0.00900900900900901,0,0,0.936936936936937,0.036036036036036,0,0.00900900900900901,0.018018018018018,0.954954954954955,0.018018018018018,0.00900900900900901,0.018018018018018,0,0,0.954954954954955,0,0.018018018018018,0.027027027027027,0
"3","1.12.4",1,12,4,2005,1,0,1,65,0,3,6,6,1810,2,701,0,0,0.657894736842105,0,0.657894736842105,0,0,0,0,0,0,0,0,0,0.0460526315789474,0.00657894736842105,0,0.986842105263158,0,13.1578947368421,1.31578947368421,0,1.5,0.75,0,1,4.5,2.25,1.33333333333333,0.666666666666667,0,59922.567,79.85,0.55,0.9,17.7368421052632,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,88,6,6,-3,0,0.15,0.05,0.15,0.65,0.25,0,0.3,0.15,0,0,0.3,0,0,0,0,0,0.993421052631579,0,0,0.00657894736842105,0,0,0.993421052631579,0,0,0,0.00657894736842105,0.993421052631579,0,0,0.00657894736842105,0,0,0.993421052631579,0,0,0,0.00657894736842105
"4","1.12.6",1,12,6,2005,0,2,0,-1,1.09861228866811,3,14,60,450,2,198,0,0,1.98019801980198,1.98019801980198,1.98019801980198,0,0.99009900990099,0,0.99009900990099,0,0,0,0,0,3.36633663366337,0.0396039603960396,0.98019801980198,12.8712871287129,0,792.079207920792,49.5049504950495,0,1.42857142857143,0.785714285714286,0.571428571428571,1,5,NA,NA,NA,0,41301.611,81.35,0,1,17.35,1,0,0,0,0,0,0,0,0,0,0,3,-3,68,20,25,88,25,3,25,0.4,0.1,0.05,0,0.45,0.05,0,0.05,0.6,0,0.05,0.25,0,0,0,0,0,0.96039603960396,0.0297029702970297,0,0.0099009900990099,0,0,0.96039603960396,0,0.0198019801980198,0.0198019801980198,0,1,0,0,0,0,0,1,0,0,0,0
"5","1.13.1",1,13,1,2005,1,0,1,5,0,0,10,55,239,1,154,0,0,0,0,0.917431192660551,0,0,0,0,0,0,0,0,0,0.137614678899083,0.00917431192660551,0,45.8715596330275,0.00917431192660551,18.348623853211,15.5963302752294,0,1.4,0.4,0.4,1,3,2.5,1.875,0.875,0,81609.459,90,0.45,1,6.75,1,0,0,0,0,0,1,0,0,0,0,-3,-3,88,-3,-3,0,-3,-3,-3,0.15,0.1,0.4,0,0.35,0,0,0.8,0.2,0,0,0,0,0,0,0,0,0.990825688073395,0,0,0.00917431192660551,0,0,0.990825688073395,0,0,0,0.00917431192660551,1,0,0,0,0,0,1,0,0,0,0
"6","1.13.15",1,13,15,2005,1,0,0,4,0,2,7,17,30,2,194,0.943396226415094,0.943396226415094,1.88679245283019,1.88679245283019,0,0,0,1.88679245283019,0,0,0,0,0,0,4.66981132075472,0.0566037735849057,0.320754716981132,118.867924528302,0.0566037735849057,59.4339622641509,15.5660377358491,0,1.38461538461538,0.153846153846154,0.692307692307692,1,4,2.25,1.75,1,0,77325.044,78.6,0.789473684210526,0.947368421052632,7.78947368421053,0,0,0,0,0,0,0,0,0,0,1,-3,-3,17,-3,10,88,10,10,-3,0.1,0.05,0.7,0.05,0.1,0,0.1,0.85,0.05,0,0,0,0,0,0,0,0,0.943396226415094,0.0283018867924528,0.00943396226415094,0.0188679245283019,0,0,0.943396226415094,0.0188679245283019,0,0.00943396226415094,0.0283018867924528,0.971698113207547,0.00943396226415094,0.00943396226415094,0.00943396226415094,0,0,0.971698113207547,0,0,0,0.0283018867924528
"7","1.13.2",1,13,2,2005,0,20,-1,-1,3.04452243772342,0,30,67,800,1,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88888888888889,0,0,NA,NA,NA,NA,NA,0,54986.864,90,0.157894736842105,0.894736842105263,8.88888888888889,0,0,0,0,0,0,0,0,0,0,3,3,-3,88,-3,-3,88,-3,-3,-3,0.9,0,0.1,0,0,0,0,0.15,0.8,0,0,0,0,0,0,0,0.05,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"8","1.13.3",1,13,3,2005,0,1,1,-1,0.693147180559945,2,7,35,349,2,101,0.961538461538462,0,0,0,0,0,0,0,0,0,0,0.961538461538462,0,0,4.375,0.00961538461538462,0,24.0384615384615,0,9.61538461538461,4.80769230769231,0,1.7,0.4,0,1,2.72727272727273,1.54545454545455,1.54545454545455,0.818181818181818,0,35552.1005,86.75,0,0.9,4.35,0,0,0,0,0,0,0,0,0,0,4,2,80,35,7,-3,88,-3,2,-3,1,0,0,0,0,0.6,0.1,0.25,0,0,0,0,0,0,0,0.05,0,0.990384615384615,0,0,0.00961538461538462,0,0,0.990384615384615,0,0,0,0.00961538461538462,1,0,0,0,0,0,1,0,0,0,0
"9","1.13.4",1,13,4,2005,1,0,1,45,0,0,2,30,39,2,400,1.85185185185185,0,2.77777777777778,0,0,0,0,0,0,0,0,0,0,1.85185185185185,0.694444444444444,0.0462962962962963,0.259259259259259,298.148148148148,0.037037037037037,64.8148148148148,22.2222222222222,1.85185185185185,1,0,0.4,1,4,3,2.5,1,0,71077.052,71.35,2.1,0.95,7.2,1,1,1,0,0,0,2,0,2,1,0,0,0,88,-3,-3,0,-3,0,0,0.15,0,0,0,0.85,0,0,1,0,0,0,0,0,0,0,0,0,0.953703703703704,0.00925925925925926,0,0.0277777777777778,0.00925925925925926,0,0.953703703703704,0.00925925925925926,0,0,0.037037037037037,1,0,0,0,0,0,1,0,0,0,0
"10","1.13.5",1,13,5,2005,1,0,1,15,0,2,12,12,713,3,1182,0,0,2.10526315789474,3.15789473684211,0,0,0,0,0,0,0,1.05263157894737,0,2.10526315789474,12.5789473684211,0.0631578947368421,0.105263157894737,10.5263157894737,0,731.578947368421,26.3157894736842,2.10526315789474,1.27272727272727,0.454545454545455,0.833333333333333,1,2.75,2.25,1.25,0.75,0,50021.303,71.85,0.947368421052632,1,10.7894736842105,1,0,0,0,0,0,0,0,0,0,0,3,15,15,15,15,15,15,3,15,0.15,0,0.65,0,0.2,0.9,0,0,0,0,0,0,0.05,0,0,0,0.05,0.936842105263158,0.0315789473684211,0,0.0315789473684211,0,0,0.936842105263158,0,0.0631578947368421,0,0,0.989473684210526,0,0,0.0105263157894737,0,0,0.989473684210526,0,0.0105263157894737,0,0
